Y値,変換後
1454,1
1456,2
1458,3
1460,4
1462,5
1464,6
1465,7
1467,8
1469,9
1471,10
1473,11
1475,12
1476,13
1478,14
1480,15
1482,16
1484,17
1486,18
1487,19
1489,20
1491,21
1493,22
1495,23
1497,24
1498,25
1500,26
1502,27
1504,28
1506,29
1508,30
1509,31
1511,32
1513,33
1515,34
1517,35
1518,36
1520,37
1522,38
1524,39
1526,40
1528,41
1529,42
1531,43
1533,44
1535,45
1537,46
1539,47
1540,48
1542,49
1544,50
1546,51
1548,52
1550,53
1551,54
1553,55
1555,56
1557,57
1559,58
1561,59
1562,60
1564,61
1566,62
1568,63
1570,64
1572,65
1573,66
1575,67
1577,68
1579,69
1581,70
1583,71
1584,72
1586,73
1588,74
1590,75
1592,76
1594,77
1595,78
1597,79
1599,80
1601,81
1603,82
1605,83
1606,84
1608,85
1610,86
1612,87
1614,88
1616,89
1617,90
